Speccode,Zoop_Taxa,Type,Season,All_Bio_SUM_m3,All_Den_SUM_m3,All_Bio_SUM_m2,All_Bio_MEAN_m3,All_Den_MEAN_m3,All_Bio_MEAN_m2,All_Bio_SD_m3,All_Den_SD_m3,All_Bio_SD_m2,N,All_Bio_SE_m3,All_Den_SE_m3,All_Bio_SE_m2
COUSP,Rotifers,NS,Spring,2.60768112562307e-4,18.701362601630198,0.003992135741447298,2.8974234729145223e-5,2.077929177958911,0.003992135741447298,7.036808617810373e-5,5.514362344399155,0.003992135741447298,9,2.3456028726034576e-5,1.838120781466385,0.001330711913815766
COUSP,Rotifers,NS,Summer,0,0,0,0,0,0,0,0,0,13,0,0,0
COUSP,Rotifers,OS,Spring,0,0,0,0,0,0,0,0,0,8,0,0,0
COUSP,Rotifers,OS,Summer,0,0,0,0,0,0,0,0,0,8,0,0,0
CYCCOPE,Cyclopoids,NS,Spring,4.824890641049123,3063.9535757093654,224.72415663965813,0.5360989601165692,340.4392861899295,224.72415663965813,0.6279932452736725,345.3917408949296,224.72415663965813,9,0.20933108175789084,115.13058029830988,74.90805221321938
CYCCOPE,Cyclopoids,NS,Summer,35.47669435678006,53420.20146208848,709.5338871356012,2.7289764889830814,4109.246266314499,709.5338871356012,3.926549478225482,5139.786124352318,709.5338871356012,13,1.0890288830298729,1425.5201858669705,196.7892932112838
CYCCOPE,Cyclopoids,OS,Spring,10.566898776332929,6025.739610786462,211.33797552665857,1.320862347041616,753.2174513483078,211.33797552665857,1.098214408268664,766.4054119362291,211.33797552665857,8,0.388277427641772,270.9652319590885,74.71925780856844
CYCCOPE,Cyclopoids,OS,Summer,32.75067116120651,50620.91990672957,655.0134232241302,4.093833895150814,6327.614988341196,655.0134232241302,5.075377685215425,6528.376748076218,655.0134232241302,8,1.7944169891493549,2308.1297343526376,231.5822166649982
DAPAMBI,Daphnids,NS,Spring,0,0,0,0,0,0,0,0,0,9,0,0,0
DAPAMBI,Daphnids,NS,Summer,0,0,0,0,0,0,0,0,0,13,0,0,0
DAPAMBI,Daphnids,OS,Spring,0,0,0,0,0,0,0,0,0,8,0,0,0
DAPAMBI,Daphnids,OS,Summer,0.9779843617066208,127.85035103767339,19.559687234132415,0.1222480452133276,15.981293879709174,19.559687234132415,0.3080943069985104,33.20238117562376,19.559687234132415,8,0.10892778686180835,11.738814440412067,6.915393740571488
DAPGALEM,Daphnids,NS,Spring,0.218040566707787,58.673400544149516,2.711682674042564,0.024226729634198554,6.519266727127723,2.711682674042564,0.06979051483708182,16.461745531437032,2.711682674042564,9,0.02326350494569394,5.48724851047901,0.9038942246808547
DAPGALEM,Daphnids,NS,Summer,56.25287483977061,15009.222542136227,1125.0574967954121,4.327144218443894,1154.5555801643252,1125.0574967954121,5.857358028505792,1243.9723236790744,1125.0574967954121,13,1.6245388238867922,345.0158460217684,312.03480711854013
DAPGALEM,Daphnids,OS,Spring,0.0027097359568768456,3.5729436072483596,0.054194719137536915,3.387169946096057e-4,0.44661795090604495,0.054194719137536915,6.275818345886494e-4,0.8316889766775845,0.054194719137536915,8,2.2188368549356407e-4,0.29404645762341014,0.019160726703326355
DAPGALEM,Daphnids,OS,Summer,48.99713217419277,10076.915115154818,979.9426434838555,6.124641521774096,1259.6143893943522,979.9426434838555,6.318069419272406,1104.022675816667,979.9426434838555,8,2.233774865187435,390.3309603268413,346.46204419065276
DAPRETR,Daphnids,NS,Spring,0,0,0,0,0,0,0,0,0,9,0,0,0
DAPRETR,Daphnids,NS,Summer,21.023816104206812,9421.452694837973,420.4763220841362,1.6172166234005239,724.7271303721518,420.4763220841362,3.931810659205505,1825.708497173218,420.4763220841362,13,1.0904880720908705,506.3604308160261,116.6191491840665
DAPRETR,Daphnids,OS,Spring,0,0,0,0,0,0,0,0,0,8,0,0,0
DAPRETR,Daphnids,OS,Summer,38.77134739990033,15771.82237212681,775.4269479980065,4.846418424987541,1971.4777965158512,775.4269479980065,4.518866718274988,1371.1839321212617,775.4269479980065,8,1.597660649885222,484.7867283284894,274.1548266220894
DAPSP,Daphnids,NS,Spring,0,0,0,0,0,0,0,0,0,9,0,0,0
DAPSP,Daphnids,NS,Summer,0,0,0,0,0,0,0,0,0,13,0,0,0
DAPSP,Daphnids,OS,Spring,0.031039746944156694,29.740996147803145,0.6207949388831339,0.0038799683680195867,3.717624518475393,0.6207949388831339,0.006207031177055645,5.240332066261181,0.6207949388831339,8,0.002194516918166182,1.8527371698612967,0.2194841555052761
DAPSP,Daphnids,OS,Summer,0,0,0,0,0,0,0,0,0,8,0,0,0
DIACOPE,Calanoids,NS,Spring,0.45266338962762176,323.2774486723616,20.990901014056416,0.05029593218084686,35.91971651915129,20.990901014056416,0.06995967872654524,49.96478946640373,20.990901014056416,9,0.02331989290884841,16.654929822134577,6.996967004685472
DIACOPE,Calanoids,NS,Summer,33.60115754709911,20244.577355377463,672.0231509419823,2.5847044266999317,1557.2751811828819,672.0231509419823,2.2855290749772426,1611.277947276163,672.0231509419823,13,0.6338917131841715,446.88809676373603,186.38568684770718
DIACOPE,Calanoids,OS,Spring,1.5334211530689297,1017.0800094424172,30.668423061378594,0.1916776441336162,127.13500118030215,30.668423061378594,0.17018450444156377,103.94235208582644,30.668423061378594,8,0.06016930857175093,36.74917100618378,10.84292495749935
DIACOPE,Calanoids,OS,Summer,28.303927079291967,10890.903318335295,566.0785415858393,3.537990884911496,1361.3629147919119,566.0785415858393,2.389553550956715,990.7667566351255,566.0785415858393,8,0.8448347599449437,350.2889460954495,200.13898771976898
DIPBIRG,Non-Daphnid,NS,Spring,0,0,0,0,0,0,0,0,0,9,0,0,0
DIPBIRG,Non-Daphnid,NS,Summer,0.4002009572352334,105.22493138494627,8.004019144704667,0.030784689018094877,8.094225491149713,8.004019144704667,0.08734322023070089,13.13299160162362,8.004019144704667,13,0.024224650700456592,3.6424365092224544,2.2199154950790847
DIPBIRG,Non-Daphnid,OS,Spring,0,0,0,0,0,0,0,0,0,8,0,0,0
DIPBIRG,Non-Daphnid,OS,Summer,0,0,0,0,0,0,0,0,0,8,0,0,0
DIYTHOM,Cyclopoids,NS,Spring,9.470767507830487,2660.246665236536,236.42533764951384,1.0523075008700542,295.58296280405955,236.42533764951384,1.1953426543403036,263.25206411280936,236.42533764951384,9,0.39844755144676786,87.75068803760313,78.80844588317127
DIYTHOM,Cyclopoids,NS,Summer,40.879174750941445,12166.676389019594,817.5834950188289,3.1445519039185728,935.8981837707381,817.5834950188289,4.296779459897502,1329.6970158629927,817.5834950188289,13,1.1917122047708393,368.7915978096518,226.7568625587265
DIYTHOM,Cyclopoids,OS,Spring,5.8652191692111035,1519.8697780184361,117.30438338422206,0.7331523961513879,189.98372225230452,117.30438338422206,0.9071705669743376,204.84422136880522,117.30438338422206,8,0.3207332298001996,72.42336900838022,41.47336247694499
DIYTHOM,Cyclopoids,OS,Summer,64.91490909913169,19121.965408220516,1298.2981819826337,8.114363637391461,2390.2456760275645,1298.2981819826337,9.307333870550286,2897.2686399038325,1298.2981819826337,8,3.2906394473166714,1024.3391510975628,459.01772424104325
DREPOLYV,Veligers,NS,Spring,0.2790382316952702,2849.3197836406393,12.702276926656925,0.03100424796614113,316.59108707118213,12.702276926656925,0.057428379931718475,619.361407991079,12.702276926656925,9,0.019142793310572826,206.45380266369298,4.234092308885642
DREPOLYV,Veligers,NS,Summer,135.83286077386688,790618.126133684,2716.657215477338,10.448681597989761,60816.7789333603,2716.657215477338,17.20536588725272,106065.87066474665,2716.657215477338,13,4.771909916892974,29417.37963526737,753.465145250982
DREPOLYV,Veligers,OS,Spring,0.444476528,2304.7000868200003,8.889530559999999,0.055559566,288.08751085250003,8.889530559999999,0.04858400585234347,250.73820864750422,8.889530559999999,8,0.01717703999769949,88.64934381860883,3.142923670270523
DREPOLYV,Veligers,OS,Summer,24.361801848076432,71531.33922675725,487.2360369615286,3.045225231009554,8941.417403344656,487.2360369615286,2.920572558027172,10565.495252348213,487.2360369615286,8,1.0325783303641773,3735.466669764847,172.26395288697807
ENCSP,Rotifers,NS,Spring,0.0011096854777929862,8.191172321657305,0.016202285440518757,1.2329838642144292e-4,0.9101302579619228,0.016202285440518757,3.5623273671366154e-4,2.5431970121616936,0.016202285440518757,9,1.1874424557122052e-4,0.8477323373872312,0.005400761813506252
ENCSP,Rotifers,NS,Summer,0,0,0,0,0,0,0,0,0,13,0,0,0
ENCSP,Rotifers,OS,Spring,0,0,0,0,0,0,0,0,0,8,0,0,0
ENCSP,Rotifers,OS,Summer,0,0,0,0,0,0,0,0,0,8,0,0,0
EPICOPE,Calanoids,NS,Spring,0,0,0,0,0,0,0,0,0,9,0,0,0
EPICOPE,Calanoids,NS,Summer,2.7514425081226324,945.6356482981602,55.02885016245265,0.21164942370174095,72.74120371524309,55.02885016245265,0.3127378901316024,101.35288697710781,55.02885016245265,13,0.08673788451153201,28.11023314709759,15.262256991580609
EPICOPE,Calanoids,OS,Spring,0,0,0,0,0,0,0,0,0,8,0,0,0
EPICOPE,Calanoids,OS,Summer,1.8114301864141704,536.0088626408141,36.22860372828341,0.2264287733017713,67.00110783010176,36.22860372828341,0.17978308916697652,86.41377138161656,36.22860372828341,8,0.0635629207463174,30.55188186592254,12.808745684594717
EPILACU,Calanoids,NS,Spring,0,0,0,0,0,0,0,0,0,9,0,0,0
EPILACU,Calanoids,NS,Summer,3.720434922935935,243.6275745269808,74.40869845871869,0.2861873017643027,18.7405826559216,74.40869845871869,0.33027093685463543,23.120202945350297,74.40869845871869,13,0.09160067674037826,6.412390555276465,20.63725981795758
EPILACU,Calanoids,OS,Spring,0,0,0,0,0,0,0,0,0,8,0,0,0
EPILACU,Calanoids,OS,Summer,1.3069027240549171,120.8711394931104,26.138054481098344,0.16336284050686464,15.1088924366388,26.138054481098344,0.18762258764460207,18.11843404227203,26.138054481098344,8,0.06633460201363273,6.40583378788587,9.241197785304031
EUBCORE,Non-Daphnid,NS,Spring,0,0,0,0,0,0,0,0,0,9,0,0,0
EUBCORE,Non-Daphnid,NS,Summer,3.7859692959648377,2504.5576505149165,75.71938591929674,0.2912284073819106,192.65828080883975,75.71938591929674,0.4860958933332544,343.70314406607156,75.71938591929674,13,0.13481874370811714,95.32610072833904,21.000779113743878
EUBCORE,Non-Daphnid,OS,Spring,0,0,0,0,0,0,0,0,0,8,0,0,0
EUBCORE,Non-Daphnid,OS,Summer,0.804843810695776,579.99609578187,16.09687621391552,0.100605476336972,72.49951197273376,16.09687621391552,0.19505192623323303,131.01595507318405,16.09687621391552,8,0.06896126986150865,46.321135137940246,5.691105163390052
GASSTYL,Rotifers,NS,Spring,0,0,0,0,0,0,0,0,0,9,0,0,0
GASSTYL,Rotifers,NS,Summer,1.2823132209414856,56742.346213661935,25.646264418829713,0.09863947853396043,4364.79586258938,25.646264418829713,0.10094938079626228,4193.881106350063,25.646264418829713,13,0.027998320668251035,1163.1733363188307,7.1129939527844765
GASSTYL,Rotifers,OS,Spring,0,0,0,0,0,0,0,0,0,8,0,0,0
GASSTYL,Rotifers,OS,Summer,0.42681181644413557,19449.04001511886,8.536236328882712,0.053351477055516947,2431.1300018898573,8.536236328882712,0.03577400585448129,1569.9171660743505,8.536236328882712,8,0.012648021064955484,555.0495370161702,3.0180152969819627
HARCOPE,Cyclopoids,NS,Spring,0.0013765491354638618,4.57161481142559,0.040596129188512166,1.529499039404291e-4,0.5079572012695099,0.040596129188512166,3.0579223545469967e-4,1.0255829009750377,0.040596129188512166,9,1.0193074515156656e-4,0.3418609669916792,0.013532043062837389
HARCOPE,Cyclopoids,NS,Summer,0.04749444339086678,66.82081246281022,0.9498888678173355,0.0036534187223743676,5.140062497139248,0.9498888678173355,0.010562806356474169,11.463471699119443,0.9498888678173355,13,0.0029295953793126595,3.179395000461958,0.26345177068521836
HARCOPE,Cyclopoids,OS,Spring,0,0,0,0,0,0,0,0,0,8,0,0,0
HARCOPE,Cyclopoids,OS,Summer,0,0,0,0,0,0,0,0,0,8,0,0,0
HARSP,Cyclopoids,NS,Spring,0.03896077495109246,26.742223235651178,0.780155567137476,0.004328974994565828,2.971358137294575,0.780155567137476,0.006248782989098216,4.404822761409588,0.780155567137476,9,0.0020829276630327386,1.468274253803196,0.260051855712492
HARSP,Cyclopoids,NS,Summer,0.02605324228513077,22.6802576941989,0.5210648457026155,0.0020040955603946747,1.7446352072460694,0.5210648457026155,0.007225869303932738,6.290371696705447,0.5210648457026155,13,0.0020040955603946747,1.7446352072460694,0.14451738607865477
HARSP,Cyclopoids,OS,Spring,4.599099900277507e-4,0.487971464878827,0.009198199800555014,5.7488748753468836e-5,0.06099643310985337,0.009198199800555014,1.6260273634203e-4,0.1725239659206759,0.009198199800555014,8,5.7488748753468836e-5,0.06099643310985337,0.0032520547268405993
HARSP,Cyclopoids,OS,Summer,0,0,0,0,0,0,0,0,0,8,0,0,0
HOLGIBB,Non-Daphnid,NS,Spring,0,0,0,0,0,0,0,0,0,9,0,0,0
HOLGIBB,Non-Daphnid,NS,Summer,73.30630858646894,39919.94434691152,1466.126171729379,5.638946814343765,3070.7649497624247,1466.126171729379,7.555955007362183,4322.166567123291,1466.126171729379,13,2.095644862626403,1198.7533214507073,406.63023757461525
HOLGIBB,Non-Daphnid,OS,Spring,0,0,0,0,0,0,0,0,0,8,0,0,0
HOLGIBB,Non-Daphnid,OS,Summer,38.79138521290841,28864.704730831512,775.8277042581682,4.848923151613551,3608.088091353939,775.8277042581682,5.783109871601883,4405.4027845313285,775.8277042581682,8,2.0446381032782774,1557.5450914001005,274.296515356671
KELLONG,Rotifers,NS,Spring,0.0010074096400938706,165.37974785330866,0.02023092472412707,1.1193440445487453e-4,18.375527539256517,0.02023092472412707,2.745024387060595e-4,43.974798225112714,0.02023092472412707,9,9.150081290201984e-5,14.658266075037572,0.006743641574709024
KELLONG,Rotifers,NS,Summer,2.742538549851978,252213.1703894557,54.850770997039554,0.2109645038347675,19401.013106881208,54.850770997039554,0.41618856412998745,34122.62986259261,54.850770997039554,13,0.1154299390948002,9463.914740250491,15.212866717581473
KELLONG,Rotifers,OS,Spring,0.00118653459,162.89107335,0.023730691800000002,1.4831682375e-4,20.36138416875,0.023730691800000002,1.711375652716356e-4,29.696876027782235,0.023730691800000002,8,6.050626645966446e-5,10.49943120965052,0.008390066547013998
KELLONG,Rotifers,OS,Summer,2.7943553758401545,423576.0909770214,55.887107516803084,0.3492944219800193,52947.01137212767,55.887107516803084,0.3971248530322391,59056.23604516836,55.887107516803084,8,0.14040483827840367,20879.53248944598,19.759076353016564
KERCOCH,Rotifers,NS,Spring,4.0063358557473487e-4,152.5530311424344,0.009212222737805137,4.451484284163721e-5,16.950336793603825,0.009212222737805137,8.756368098093756e-5,33.009834283303285,0.009212222737805137,9,2.918789366031252e-5,11.003278094434428,0.0030707409126017123
KERCOCH,Rotifers,NS,Summer,0.7281657733176667,400326.19549072033,14.563315466353334,0.056012751793666674,30794.32273005541,14.563315466353334,0.06982678238764053,37070.612012139725,14.563315466353334,13,0.01936646494610029,10281.537878661622,4.039136973438055
KERCOCH,Rotifers,OS,Spring,3.5652783000000003e-4,132.4510762,0.0071305566,4.4565978750000003e-5,16.556384525,0.0071305566,3.900794334019728e-5,16.045497463123024,0.0071305566,8,1.379139062799706e-5,5.672940031842917,0.0025210324627472458
KERCOCH,Rotifers,OS,Summer,0.710282243555682,463999.1770321501,14.205644871113641,0.08878528044446025,57999.89712901876,14.205644871113641,0.09958767662206386,63702.235818498084,14.205644871113641,8,0.035209560731037176,22522.141462002284,5.022453909746177
KERCOCHH,Rotifers,NS,Spring,0,0,0,0,0,0,0,0,0,9,0,0,0
